acadm_year	acadm_term	authorize_p	authorize_using	chn_name	classes	comment	counter	counter_exceptAuth	course_avg	course_code	course_group	course_kind	credit	dept_chiabbr	dept_code	dept_group_name	eng_name	eng_teach	form_s	limit	limit_count_h	option_code	restrict	rt	serial_no	teacher	time_inf	generalCore
113	1	0	0	建築設計(三)		設計學院 ; 建築系 ;   限修學制：大、碩、博	0	0		ABU0145	B	半	5.0	校際臺科大（學）	9UAB		Architectural Design (3)				0	選			6000	李萬秋、吳柏翰、陳德仁、陳淑慧、籃元浚、鄭仁杰、陳修兀、李志剛、葉正桃	四 10 RB-708, 四 3-9 RB-708, 二 8-9 RB-809A	
113	1	0	0	結構隔減震設計	8	工程學院 ; 營建工程系 ;   限修學制：碩、博	0	0		ABC8057	A	半	3.0	校際臺科大（碩）	9MAB		Seismic Isolation and Energy Dissipation Design of Structures				5	選	◎課程不開放上修		6001	汪向榮	三 6-8 IB-609	
113	1	0	1	運動科學與身體活動研究法	8	產學創新學院 ; 人工智慧跨域科技研究所 ; PBL課程、業界師資協同教學、限30人、加退選開放全校大四採授權碼選課 ; 限修學制：碩、博	1	0		ABC8736	A	半	3.0	校際臺科大（碩）	9MAB		Research Methods for Sports Science and Physical Activity Studies				0	選	◎課程不開放上修		6002	林儀佳	四 2-4 TR-310-2	
113	1	0	1	離散數學		管理學院 ; 資訊管理系 ; 初選限本校資管系、全校不分系主修資管學生選課，加退選開放外系選課。 ; 限修學制：大、碩、博	1	0		ABU0715	A	半	3.0	校際臺科大（學）	9UAB		Discrete Mathematics				0	選			6003	楊傳凱	三 2-4 IB-304	
113	1	0	0	土壤力學試驗		工程學院 ; 營建工程系 ; 限43人、乙班學號單號 ; 限修學制：大	0	0		ABU0830	A	半	1.0	校際臺科大（學）	9UAB		Soil Mechanics Test				1	選			6004	陳鴻益	四 10 T2-104, 四 8-9 T2-104	
113	1	0	0	工程管理		工程學院 ; 營建工程系 ;   限修學制：大	0	0		ABU0537	B	半	3.0	校際臺科大（學）	9UAB		Project Management				1	選			6005	鄭明淵	一 6-7 IB-608, 二 6 IB-608	
113	1	0	1	基本設計(一)		設計學院 ; 設計系 ; 限商設組及不分系主修商設學號雙號修讀、限30人 ; 限修學制：大、碩、博	1	0		ABU0952	A	半	3.0	校際臺科大（學）	9UAB		Basic Design (1)				0	選			6006	鄭司維	四 6-8 E2-324	
113	1	0	0	基礎口譯		人文社會學院 ; 應用外語系 ; 限20人、英語授課、EMI課程、PBL課程、業界師資協同教學 ; 限修學制：大、碩、博	0	0		ABU0659	B	半	3.0	校際臺科大（學）	9UAB		Elementary Interpreting	是			2	選			6007	陳安頎	三 2-4 T4-407	
113	1	0	1	深度學習於電腦視覺	7	電機資訊學院 ; 電信工程學研究所 ;   限修學制：大、碩、博	1	0		AAC7C70	A	半	3.0	校際臺大（學）	9UAA		Deep Learning for Computer Vision				1	選	◎加退選全授權碼選課		6008	王鈺強	二 2-4 博理113	
113	1	0	0	工程數學1		工學院 ; 土木工程學系 ;   限修學制：大、碩、博	0	0		AAU1767	A	半	2.0	校際臺大（學）	9UAA		Engineering Mathematics 1				1	選	◎加退選全授權碼選課		6009	張書瑋	四 3-4 新505	
113	1	0	0	中等土壤力學	7	工學院 ; 土木工程學研究所 ;   限修學制：大、碩、博	0	0		AAC7M88	A	半	3.0	校際臺大（學）	9UAA		Intermediate Soil Mechanics	是			2	選	◎加退選全授權碼選課		6010	卿建業	二 7-9 土224	
113	1	0	0	昆蟲學之路		生物資源暨農學院 ; 昆蟲學系 ; 缺課(含請假)達四次以上(含第四次)，此課程不通過。 ; 限修學制：大、碩、博	0	0		AAU2272	A	半	1.0	校際臺大（學）	9UAA		The Art of Insect Science				3	選			6011	許如君	二 6 學新614	
113	1	0	0	普通物理學甲上		理學院 ; 物理學系 ;   限修學制：大、碩、博	1	1		AAU1845	A	半	3.0	校際臺大（學）	9UAA		General Physics (a)(1)				3	選			6012	楊珮芸	三 3-4 博雅302, 五 3-4 資103	
113	1	0	0	虛擬化網路與安全	7	電機資訊學院 ; 電機工程學研究所 ; 上課地點:學新118。 ; 限修學制：大、碩、博	0	0		AAC7C58	A	半	3.0	校際臺大（學）	9UAA		Network Virtualization and Security				5	選			6013	沈上翔	三 7-9 請洽系所辦	
113	1	0	0	微波電路	7	電機資訊學院 ; 電機工程學研究所 ;   限修學制：大、碩、博	0	0		AAC7895	A	半	3.0	校際臺大（學）	9UAA		Theory of Microwave Circuits and Devices				15	選			6014	盧信嘉	二 2-4 電二143	
113	1	0	0	電波天文學		理學院 ; 天文物理研究所 ;   限修學制：大、碩、博	3	3		AAM2246	A	半	3.0	校際臺大（碩）	9MAA		Radio Astronomy				3	選	◎課程開放上修		6015	呂聖元	五 2-4 天數812	
113	1	0	1	學士論文上		工學院 ; 土木工程學系 ; 初選不開放． ; 限修學制：大、碩、博	1	0		AAU1828	X	半	1.0	校際臺大（學）	9UAA	A	Thesis (b.s.) (1)				1	選	◎加退選全授權碼選課 ◎初選不開放		6016	林偲妘		
113	1	0	0	應用力學1		工學院 ; 土木工程學系 ; 教材、作業及考試皆為英文，上課輔以中文。 ; 限修學制：大、碩、博	0	0		AAU2089	B	半	2.0	校際臺大（學）	9UAA		Applied Mechanics 1				1	選	◎加退選全授權碼選課		6017	張家銘	二 3-4 普403	
113	1	0	0	工程材料(一)		工程學院 ; 機械工程系 ;   限修學制：大、碩、博	0	0		ABU0763	A	半	3.0	校際臺科大（學）	9UAB		Engineering Materials (1)				2	選			6018	丘群	一 2-4 TR-510	
113	1	0	0	建築設計(五)		設計學院 ; 建築系 ; 必須已曾修習建築設計(一)~(四)同學 ; 限修學制：大、碩、博	0	0		ABU0541	A	半	6.0	校際臺科大（學）	9UAB		Architectural Design (5)				0	選			6019	王裕華、陳永富、李玄、殷  瑋、張良瑛、陳順惠、張弘鼎、邱奕旭、吳成榮、莊舜惠、巫基福	五 6-9 RB-809A, 三 2-9 RB-708	
113	1	0	2	資訊工程導論		電資學院 ; 資訊工程系 ; 學號單數、業界師資協同教學 ; 限修學制：大、碩、博	2	0		ABU0875	A	半	3.0	校際臺科大（學）	9UAB		Introduction to Computer Science				0	選			6020	花凱龍	五 10 TR-312, 五 8-9 TR-312	
113	1	0	0	橋梁工程實務		工程學院 ; 營建工程系 ;   限修學制：大、碩、博	0	0		ABU0953	A	半	3.0	校際臺科大（學）	9UAB		Practice of Bridge Engineering				5	選			6021	劉建志	五 10 IB-607, 五 8-9 IB-607	
113	1	0	3	離散數學		電資學院 ; 資訊工程系 ; 學號單數、限80人 ; 限修學制：大、碩、博	3	0		ABU0715	B	半	3.0	校際臺科大（學）	9UAB		Discrete Mathematics				0	選			6022	項天瑞	五 6-7 TR-310-1, 四 3 TR-310-1	
113	1	0	0	表演一上		文學院 ; 戲劇學系 ; 初選不開放．外系生修課需於第一週上課參加甄試（無需準備）。下學期初選不預帶外系生，需重新經過教師同意。 ; 限修學制：大、碩、博	0	0		AAU2273	A	半	2.0	校際臺大（學）	9UAA		Acting (I)(1)				1	選	◎加退選全授權碼選課 ◎初選不開放		6023	朱靜美	二 8-9 總一館114	
113	1	0	1	總體經濟學上		社會科學院 ; 經濟學系 ;   限修學制：大、碩、博	1	0		AAU1317	B	半	3.0	校際臺大（學）	9UAA		Macroeconomics (1)				1	選	◎加退選全授權碼選課		6024	毛慶生	五 7-9 社科201	
113	1	0	0	日文二上		文學院 ; 日本語文學系 ; 日籍或以日語為母語之學生請勿選修。第二外語擇一修習兩年。 ; 限修學制：大、碩、博	0	0		AAU0057	Z	半	3.0	校際臺大（學）	9UAA		Japanese (II) (1)				1	選	◎必須先修過　（　日文上 和 日文下　）　｜　（　日文一上 和 日文一下　）】 ◎加退選全授權碼選課		6025	黃意婷	四 7-9 共404	
113	1	0	0	健康心理學	7	公共衛生學院 ; 健康行為與社區科學研究所 ; 公衛系健康行為與社區科學領域專長必修。 ; 限修學制：大三以上、碩、博	0	0		AAC7072	A	半	2.0	校際臺大（學）	9UAA		Health Psychology	是			3	選			6026	張書森	三 3-4 公衛118	
113	1	0	0	環境工程與永續發展	7	工學院 ; 環境工程學研究所 ;   限修學制：大、碩、博	0	0		AAC7M89	A	半	3.0	校際臺大（學）	9UAA		Environmental Engineering and Sustainable Development	是			4	選			6027	郭大孚	五 2-4 環工101	
113	1	0	1	資料結構		電資學院 ; 資訊工程系 ; 學號單數 ; 限修學制：大、碩、博	1	0		ABU0871	A	半	3.0	校際臺科大（學）	9UAB		Data Structures				1	選			6028	鄧惟中	一 3-4 TR-313, 三 4 TR-313	
113	1	0	0	人工智慧	8	電資學院 ; 資訊工程系 ; 限55人、加退選時開放本系大四選課、開放外系研究所選課 ; 限修學制：碩、博	0	0		ABC8737	A	半	3.0	校際臺科大（碩）	9MAB		Artificial Intelligence				0	選	◎課程不開放上修		6029	李漢銘	四 10 TR-309, 四 8-9 TR-309	
113	1	0	0	作業系統		電資學院 ; 資訊工程系 ; 學號單數 ; 限修學制：大、碩、博	0	0		ABU0876	B	半	3.0	校際臺科大（學）	9UAB		Operating Systems				0	選			6030	鄭欣明	一 6-7 TR-313, 二 8 TR-211	
113	1	0	0	建築設計(一)		設計學院 ; 建築系 ;   限修學制：大、碩、博	0	0		ABU0144	C	半	3.0	校際臺科大（學）	9UAB		Architectural Designs (1)				0	選			6031	陳彥廷、彭英麗、柏永青、黃聖傑、施乃中、陳秀杏	二 2-9 RB-708	
113	1	0	1	工程圖學		工學院 ; 土木工程學系 ; 電腦教室:工綜323室。 ; 限修學制：大、碩、博	1	0		AAU1532	C	半	2.0	校際臺大（學）	9UAA		Engineering Graphics				1	選	◎加退選全授權碼選課		6032	謝依芸	五 2-4 新402	
113	1	0	0	工控系統之資訊安全	7	電機資訊學院 ; 電機工程學研究所 ;   限修學制：大、碩、博	0	0		AAC7C52	A	半	3.0	校際臺大（學）	9UAA		Industry Control System (ICS) Cybersecurity				2	選	◎加退選全授權碼選課		6033	林志達	二 7-9 電二102	
113	1	0	0	普通物理學乙		理學院 ; 物理學系 ; 可充抵通識 ; 限修學制：大、碩、博	0	0		AAU1434	B	半	3.0	校際臺大（學）	9UAA		General Physics (b)				3	選	◎加退選全授權碼選課		6034	傅昭銘	三 2-4 綜503	
113	1	0	0	普通植物學實驗		生命科學院 ; 生命科學系 ; 森林生物學群選擇必修。 ; 限修學制：大、碩、博	0	0		AAU1642	A	半	1.0	校際臺大（學）	9UAA		General  Botany  Lab.				0	選	◎加退選全授權碼選課		6035	李勇毅	一 7-9 思亮409	
113	1	0	1	普通植物學實驗		生命科學院 ; 生命科學系 ; 森林生物學群選擇必修。 ; 限修學制：大、碩、博	1	0		AAU1642	B	半	1.0	校際臺大（學）	9UAA		General  Botany  Lab.				0	選	◎加退選全授權碼選課		6036	李勇毅	一 7-9 思亮410	
113	1	0	0	進階英語一(綜合學術)		教務處 ; 外語教學暨資源中心 ; 選課前請先參閱外語教學暨資源中心網頁說明。 ; 限修學制：大	0	0		AAU2274	A	半	0.0	校際臺大（學）	9UAA		Online English Program I (General Academic)				0	選	◎加退選全授權碼選課		6037	鍾玉玨	四 3-4 共306	
113	1	0	1	舞台設計專題		文學院 ; 戲劇學系 ; 第1次上課未到請退選，無法配合課程時間請勿修課。未修畢先修者須經甄選，方式請見大綱。 ; 限修學制：大、碩、博	1	0		AAU2275	A	半	3.0	校際臺大（學）	9UAA		Special Topics on Stage Design	是			1	選	◎加退選全授權碼選課		6038	歐子凌	三 8-10 總一館201	
113	1	0	0	行銷資料科學		管理學院 ; 企業管理系 ; 四企二單號、遴選不開放選修、業界師資協同教學 ; 限修學制：大、碩、博	0	0		ABU0420	A	半	3.0	校際臺科大（學）	9UAB		Marketing Data Science				3	選			6039	趙子欽	五 2-4 MA-519	
113	1	0	2	網路安全實務與社會	7	電機資訊學院 ; 資訊工程學研究所 ; 初選不開放．上課時間詳閱課程大綱。停修截止日：11/22。 ; 限修學制：大、碩、博	2	0		AAC7M90	A	半	3.0	校際臺大（學）	9UAA		Public Interest Cybersecurity Practices and Society				1	選	◎加退選全授權碼選課 ◎初選不開放		6040	蕭旭君	五 A-C 資105, 六 2-9 資105	
113	1	0	0	平行計算		工學院 ; 工程科學及海洋工程學研究所 ;   限修學制：大、碩、博	0	0		AAM2247	A	半	3.0	校際臺大（碩）	9MAA		Parallel Computing				3	選	◎課程開放上修 ◎加退選全授權碼選課		6041	黃乾綱	一 7-9 工科202	
113	1	0	1	生物機電工程概論		生物資源暨農學院 ; 生物機電工程學系 ;   限修學制：大、碩、博	1	0		AAU1838	A	半	1.0	校際臺大（學）	9UAA		Introduction to Biomechatronics Engineering				3	選	◎加退選全授權碼選課		6042	吳筱梅	五 6 知武會議室	
113	1	0	0	圖解MOS元件	7	電機資訊學院 ; 電子工程學研究所 ; 上課地點：學新113。 ; 限修學制：大、碩、博	0	0		AAC7K86	A	半	2.0	校際臺大（學）	9UAA		Schematic MOS Devices				1	選			6043	劉致為	六 7-8 請洽系所辦	
113	1	0	0	實習		生物資源暨農學院 ; 生物產業傳播暨發展學系 ; 修課前請先與授課教師聯繫討論。 ; 限修學制：大、碩、博	0	0		AAU0938	C	半	2.0	校際臺大（學）	9UAA		Practice				0	選	◎加退選全授權碼選課		6044	黃麗君		
113	1	0	0	有機化學(上)		工程學院 ; 化學工程系 ; 限55人 ; 限修學制：大、碩、博	0	0		ABU0459	A	半	3.0	校際臺科大（學）	9UAB		Organic Chemistry (I)				0	選			6045	陳燿騰	一 3-4 IB-306, 四 3 IB-306	
113	1	0	0	服務業行銷	8	管理學院 ; 企業管理系 ; 英語授課、限34人、限管理學院研究所一般生選修、開放外系研究所選課 ; 限修學制：碩、博	0	0		ABC8096	B	半	3.0	校際臺科大（碩）	9MAB		Services Marketing				3	選	◎課程不開放上修		6046	葉明義	四 6-8 MA-506	
113	1	0	0	中等流體力學	7	工學院 ; 土木工程學研究所 ; 限本組研究生及土木系大學部學生 ; 限修學制：大、碩、博	0	0		AAC7M91	A	半	3.0	校際臺大（學）	9UAA		Intermediate Fluid Mechanics	是			1	選	◎加退選全授權碼選課		6047	劉格非	一 2-4 土224	
113	1	0	1	淨零排放路徑的情境探索與政策設計	7	理學院 ; 氣候變遷與永續發展國際學位學程 ;   限修學制：大、碩、博	1	0		AAC7J97	A	半	3.0	校際臺大（學）	9UAA		Pathways towards Net-Zero : Scenario Exploration and Policy Design	是			2	選	◎加退選全授權碼選課		6048	趙家緯	三 10-B 全變中心G202	
113	1	0	0	圖解 MOS 元件	7	重點科技研究學院 ; 元件材料與異質整合碩士學位學程 ; 上課教室：學新館113室 ; 限修學制：大、碩、博	0	0		AAC7M92	A	半	2.0	校際臺大（學）	9UAA		Schematic MOS Devices				3	選			6049	劉致為	六 7-8 請洽系所辦	
113	1	0	0	生態工法		工程學院 ; 營建工程系 ; 限10人 ; 限修學制：大、碩、博	0	0		ABU0643	A	半	3.0	校際臺科大（學）	9UAB		Ecological Technology				8	選			6050	蘇維翎	五 2-4 IB-602-1	
113	1	0	0	Python人工智慧程式設計入門		共同教育中心 ; 統計碩士學位學程 ;   限修學制：大、碩、博	0	0		AAU2276	A	半	3.0	校際臺大（學）	9UAA		Artificial Intelligence Programming with Python - For Beginners	是			0	選	◎加退選全授權碼選課		6051	陳彥賓	三 A-C 普305	
113	1	0	0	高維度資料雲端計算	7	共同教育中心 ; 統計碩士學位學程 ; 統計學程不分領域選修課程。 ; 限修學制：大、碩、博	0	0		AAC7M93	A	半	3.0	校際臺大（學）	9UAA		Cloud Computing for High Dimensional Data	是			0	選	◎加退選全授權碼選課		6052	陳彥賓	二 7-9 新401	
113	1	0	0	精密機械概論	7	工學院 ; 機械工程學研究所 ;   限修學制：大、碩、博	0	0		AAC7M95	A	半	3.0	校際臺大（學）	9UAA		Introduction to Precision Machine Design				2	選			6054	覺文郁	三 2-4 機械113	
