acadm_year	acadm_term	authorize_p	authorize_using	chn_name	classes	comment	counter	counter_exceptAuth	course_avg	course_code	course_group	course_kind	credit	dept_chiabbr	dept_code	dept_group_name	eng_name	eng_teach	form_s	limit	limit_count_h	option_code	restrict	rt	serial_no	teacher	time_inf	generalCore
113	1	0	0	青少年心理學（教） </br>[ 學分學程：國際教師學程-華語文 國際教師學程-數學 國際教師學程-物理 國際教師學程-國際 ]			2	2		00UE018		半	2.0	國訓學士班	9U77		Adolescents Psychology </br>[ Program: The Program of International Baccalaureate Educator Certificate-Chinese Language Education The Program of International Baccalaureate Educator Certificate-International  Mathematics Education The Program of International Baccalaureate Educator Certificate-International  Physics  Education The Program of International Baccalaureate Educator Certificate-International Education ]			0	0	選			8000	國訓教師		
113	1	0	0	特殊教育導論（教） </br>[ 學分學程：國際教師學程-華語文 國際教師學程-數學 國際教師學程-物理 國際教師學程-國際 ]			1	1		00UE059		半	3.0	國訓學士班	9U77		Introduction to Special Education </br>[ Program: The Program of International Baccalaureate Educator Certificate-Chinese Language Education The Program of International Baccalaureate Educator Certificate-International  Mathematics Education The Program of International Baccalaureate Educator Certificate-International  Physics  Education The Program of International Baccalaureate Educator Certificate-International Education ]			0	0	選			8001	國訓教師		
113	1	0	0	人體解剖生理學 </br>[ 學分學程：肌力與體能學程 運動傷害防護學程 ]			1	1		PEU0193		半	2.0	國訓學士班	9U77		Human Anatomy and Physiology </br>[ Program: The Program of Strength and Conditioning The Program of Injury Prevention and Athletic Training ]			0	0	必			8011	國訓教師		
113	1	3	0	特殊教育導論 </br>[ 學分學程：音樂輔教學程 PASSION偏鄉教育學程 ]			4	4		SPU5007	A	半	3.0	特教系（學）	EU09		Introduction to Special Education </br>[ Program: The Program of Music-assisted Guidance and Special Education The Program of PASSION Quality Education in Rural Schools ]			2	5	必		N	8015	林淑莉	二 6-8 本部 特103	
113	1	10	0	數學史專題（一）			2	2		MAD0002		半	3.0	數學系（博）	SD40		Topics in the History of Mathematics (I)			0	50	選	◎課程開放上修	N	8016	許志農	二 10-B 公館 數學館M311	
113	1	0	0	音樂鑑賞 </br>[ 學分學程：高齡學程 社團領導學程 ]			1	1		01UG004		半	2.0	國訓學士班	9U77		Music Appreciation </br>[ Program: The program of Cultivating Seniors Service Talent in Community The Program of Club Members Leadership And Empowerment Cultivation ]			0	0	通			8017	國訓教師		
113	1	0	0	體適能與運動處方 </br>[ 學分學程：肌力與體能學程 高齡學程 ]			1	1		PEU0282		半	2.0	國訓學士班	9U77		Physical Fitness and Exercise Prescription </br>[ Program: The Program of Strength and Conditioning The program of Cultivating Seniors Service Talent in Community ]			0	0	選			8022	國訓教師		
113	1	0	0	運動貼紮與臨床實作 </br>[ 學分學程：運動傷害防護學程 ]			1	1		PEU0292		半	2.0	國訓學士班	9U77		Athletic Taping and Clinical Application </br>[ Program: The Program of Injury Prevention and Athletic Training ]			0	0	選			8024	國訓教師		
113	1	0	0	運動與營養 </br>[ 學分學程：肌力與體能學程 運動傷害防護學程 高齡學程 ]			1	1		PEU2006		半	2.0	國訓學士班	9U77		Sport & Nutrition </br>[ Program: The Program of Strength and Conditioning The Program of Injury Prevention and Athletic Training The program of Cultivating Seniors Service Talent in Community ]			0	0	選			8026	國訓教師		
113	1	0	1	運動生理學 </br>[ 學分學程：肌力與體能學程 運動傷害防護學程 ]			3	2		FPU0012		半	2.0	國訓學士班	9U77		Exercise Physiology </br>[ Program: The Program of Strength and Conditioning The Program of Injury Prevention and Athletic Training ]			0	0	必			8027	國訓教師		
113	1	0	1	運動心理學 </br>[ 學分學程：運動傷害防護學程 ]			3	2		FPU0013		半	2.0	國訓學士班	9U77		Sports Psychology </br>[ Program: The Program of Injury Prevention and Athletic Training ]			0	0	必			8028	國訓教師		
113	1	0	0	健康與體育概論 </br>[ 學分學程：高齡學程 ]			1	1		FPU0337		半	2.0	國訓學士班	9U77		Introduction to Health and Physical Education </br>[ Program: The program of Cultivating Seniors Service Talent in Community ]			0	0	選			8033	國訓教師		
113	1	10	0	資優教育教學實務（甲）			2	2		SPD0091		半	1.0	特教系（博）	ED09		Practicum in Teaching the Gifted and Talented(I)			0	50	選	◎課程開放上修	N	8043	于曉平	三 10 本部 特203	
113	1	10	0	翻譯工作坊（英譯中）	8		4	4		TIC8002		半	3.0	翻譯所（碩）	LM25		Translation Workshop: English into Chinese			0	50	選	◎課程不開放上修	N	8048	賴慈芸	一 2-4 本部 樸105	
