acadm_year	acadm_term	authorize_p	authorize_using	chn_name	classes	comment	counter	counter_exceptAuth	course_avg	course_code	course_group	course_kind	credit	dept_chiabbr	dept_code	dept_group_name	eng_name	eng_teach	form_s	limit	limit_count_h	option_code	restrict	rt	serial_no	teacher	time_inf	generalCore
113	2	0	0	海洋漁業生態學	7	生命科學院 ; 漁業科學研究所 ;   限修學制：大三以上、碩、博	2	2		AAC7406	A	半	2.0	校際臺大（學）	9UAA		Marine Fisheries Ecology				3	選			4000	柯佳吟	四 3-4 漁科107	
113	2	0	0	海洋監測與技術	7	理學院 ; 海洋研究所 ;   限修學制：大、碩、博	0	0		AAC7G74	A	半	2.0	校際臺大（學）	9UAA		Marine Monitoring and Technology				1	選			4001	張明輝	四 8 海研231	
113	2	0	0	海洋與氣候:過去到未來	7	理學院 ; 海洋研究所 ;   限修學制：大、碩、博	0	0		AAC7C10	A	半	2.0	校際臺大（學）	9UAA		Climate and Ocean: From Past to Future	是			2	選			4002	賀詩琳	二 3-4 海研110教室	
113	2	0	0	海氣交互作用與海洋氣候	7	理學院 ; 海洋研究所 ;   限修學制：大、碩、博	2	2		AAC7407	A	半	3.0	校際臺大（學）	9UAA		Ocean-atmosphere Interaction and the Ocean Climate				2	選			4006	曾于?	三 6-8 115研討室	
113	2	0	0	疾病概論：未解決的問題	7	醫學院 ; 臨床醫學研究所 ; 醫學校區研究所共同課程。 ; 限修學制：大、碩、博	6	6		AAC7061	A	半	1.0	校際臺大（學）	9UAA		Introduction to Human Diseases:the unsolved problems				6	選			4007	黃凱文	三 3 基醫101	
113	2	0	0	病毒免疫學專題討論	7	生命科學院 ; 漁業科學研究所 ;   限修學制：大三以上、碩、博	0	0		AAC7H77	A	半	2.0	校際臺大（學）	9UAA		Seminar on Viral Immunology				2	選			4008	吳育騏	二 10-A 漁科302B	
113	2	0	0	疼痛. 健康. 幸福感		醫學院 ; 醫學教育暨生醫倫理研究所 ;   限修學制：大、碩、博	4	4		AAU1743	A	半	2.0	校際臺大（學）	9UAA		Pain, Health, and Wellbeing				5	選	◎加退選全授權碼選課		4009	陳慧玲	四 8-9 博雅103	
113	2	0	0	神經生物與認知科學專題討論二	7	理學院 ; 心理學研究所 ;   限修學制：大、碩、博	4	4		AAC7409	A	半	1.0	校際臺大（學）	9UAA		Seminar in Neurobiology and Cognitive Science(II)				5	選	◎加退選全授權碼選課		4010	賴文崧	一 10-A 北館視聽	
113	2	0	0	神經生物學(二)	7	生命科學院 ; 生命科學研究所 ; Ｃ群選擇必修。 ; 限修學制：大、碩、博	2	2		AAC7410	A	半	2.0	校際臺大（學）	9UAA		Neuroscience (II)				5	選			4011	閔明源	二 3-4 生科3A	
113	2	0	0	神經免疫生理學	7	醫學院 ; 生理學研究所 ;   限修學制：大、碩、博	0	0		AAC7950	A	半	2.0	校際臺大（學）	9UAA		Neuroimmunophysiology				1	選			4012	張哲逢	二 9-10 基醫1003	
