acadm_year	acadm_term	authorize_p	authorize_using	chn_name	classes	comment	counter	counter_exceptAuth	course_avg	course_code	course_group	course_kind	credit	dept_chiabbr	dept_code	dept_group_name	eng_name	eng_teach	form_s	limit	limit_count_h	option_code	restrict	rt	serial_no	teacher	time_inf	generalCore
112	2	3	0	生活型態專題研究			12	12		VDM0042		半	3.0	設計系（碩）	TM68		Special Topics on Lifestyle Research			0	30	選	◎課程開放上修	N	3000	鄧建國	五 2-4 本部 設計系2A教室	
112	2	3	0	服務設計專題研究			12	12		VDM0044		半	3.0	設計系（碩）	TM68		Special Topics on Service Design			0	30	選	◎課程開放上修	N	3001	梁桂嘉	二 2-4 本部 設計系3B教室	
112	2	3	0	城市文化專題研究			10	10		VDM0061		半	3.0	設計系（碩）	TM68		Special Topics of Urban Culture			0	30	選	◎課程開放上修	N	3002	施令紅	三 7-9 本部 綜914	
112	2	3	0	設計創意評量專題研究	8		4	4		VDC8008		半	3.0	設計系（碩）	TM68		Special Topics on Design Creativity Assessment	是		0	30	選	◎課程開放上修	N	3003	周賢彬	四 6-8 本部 綜913	
112	2	10	7	西方繪畫材料技法與臨摹（一） </br>[ 學分學程：文物保存修復學程 ]			30	23		ATU0353		半	3.0	美術系（學）	TU60		Techniques and Materials-Painting Conservation Basic (I) </br>[ Program: The Program of Conservation of Cultural Relics ]			2	30	選		N	3004	張元鳳 鈴鴨富士子	一 7-9 本部 美506	
112	2	10	6	文化資產保存與活化（一） </br>[ 學分學程：文物保存修復學程 ]		3/2~3/24（4週，週六、日2-4，6-8節)	25	19		ATU0357		半	3.0	美術系（學）	TU60		Conservation and Rehabilitation of Cultural Heritage (I) </br>[ Program: The Program of Conservation of Cultural Relics ]			2	30	選	◎初選 文物保存修復學程 研究生得下修	N	3005	山田宏	◎密集課程	
112	2	10	3	文化資產保存與活化（二） </br>[ 學分學程：文物保存修復學程 ]			25	22		ATU0358		半	3.0	美術系（學）	TU60		Conservation and Rehabilitation of Cultural Heritage (II) </br>[ Program: The Program of Conservation of Cultural Relics ]			2	30	選		N	3006	張元鳳	五 6-8 本部 美506	
112	2	10	2	典藏及展示：博物館和其他藝術空間	9		38	36		ATC0325		半	3.0	美術系（學）	TU60		Collecting and Exhibiting: Museum and Other Art Spaces			1	50	選		N	3007	林志峰	一 9-A 本部 美101	
112	2	10	0	藝術活動策劃實務 </br>[ 學分學程：社團領導學程 ]	9		21	21		ATC0332		半	3.0	美術系（學）	TU60		Practices of Exhibition and Art Activity Planning </br>[ Program: The Program of Club Members Leadership And Empowerment Cultivation ]			2	50	選		N	3008	林淑華	五 6-8 本部 美203	
112	2	10	1	藝術行政與文化政策分析	9		10	9		ATC9016		半	3.0	美術系（學）	TU60		Arts Administration and Cultural Policy	是		2	50	選		N	3009	蘇瑤華	四 2-4 本部 美405	
112	2	10	4	基礎油畫（二）			25	21		ATU0234	A	半	1.0	美術系（學）	TU60		Oil Painting - University Foundation Level (II)		1	0	30	必		N	3010	朱友意	一 9-10 本部 美602	
112	2	10	0	基礎油畫（二）			27	27		ATU0234	B	半	1.0	美術系（學）	TU60		Oil Painting - University Foundation Level (II)		1	1	30	必		N	3011	陳孟澤	五 6-7 本部 美401	
112	2	10	9	美術心理學（一）			62	53		ATU0235		半	2.0	美術系（學）	TU60		Art Psychology (I)		1	3	50	必		N	3012	趙惠玲	四 6-7 本部 美101	
