學年度	開課系所代碼	開課系所名稱	科目代碼	科目中文名稱	科目英文名稱	必選修	全/半	上學期學分	下學期學分	上學期正課時數	上學期實驗時數	下學期正課時數	下學期實驗時數	停開	
113	HD75 	電機系（博）	AEC8004 	數位控制系統	Digital Control Systems	選修	半	3.0	0.0	3.0	0.0	0.0	0.0		
113	HM75 	電機系（碩）	AEC8004 	數位控制系統	Digital Control Systems	選修	半	3.0	0.0	3.0	0.0	0.0	0.0		
113	HD75 	電機系（博）	AEC8005 	專利與智慧財產權	Patents and Intellectual Property	選修	半	3.0	0.0	3.0	0.0	0.0	0.0		
113	HM75 	電機系（碩）	AEC8005 	專利與智慧財產權	Patents and Intellectual Property	選修	半	3.0	0.0	3.0	0.0	0.0	0.0		
113	HD75 	電機系（博）	AEC8006 	線性系統理論	Linear System Theory	選修	半	3.0	0.0	3.0	0.0	0.0	0.0		
113	HM75 	電機系（碩）	AEC8006 	線性系統理論	Linear System Theory	選修	半	3.0	0.0	3.0	0.0	0.0	0.0		
113	HD75 	電機系（博）	AEC8007 	智慧型控制	Intelligent Control	選修	半	3.0	0.0	3.0	0.0	0.0	0.0		
113	HM75 	電機系（碩）	AEC8007 	智慧型控制	Intelligent Control	選修	半	3.0	0.0	3.0	0.0	0.0	0.0		
113	HD75 	電機系（博）	AEC8008 	數位影像處理	Digital Image Processing	選修	半	3.0	0.0	3.0	0.0	0.0	0.0		
113	HM75 	電機系（碩）	AEC8008 	數位影像處理	Digital Image Processing	選修	半	3.0	0.0	3.0	0.0	0.0	0.0		
113	HD75 	電機系（博）	AEC8009 	高等數位信號處理	Advanced Digital Signal Processing	選修	半	3.0	0.0	3.0	0.0	0.0	0.0		
113	HM75 	電機系（碩）	AEC8009 	高等數位信號處理	Advanced Digital Signal Processing	選修	半	3.0	0.0	3.0	0.0	0.0	0.0		
113	HD75 	電機系（博）	AEC8010 	數位信號處理架構設計	DSP Architecture Design	選修	半	3.0	0.0	3.0	0.0	0.0	0.0		
113	HM75 	電機系（碩）	AEC8010 	數位信號處理架構設計	DSP Architecture Design	選修	半	3.0	0.0	3.0	0.0	0.0	0.0		
113	HD75 	電機系（博）	AEC8011 	嵌入式系統	Embedded Systems	選修	半	3.0	0.0	3.0	0.0	0.0	0.0		
113	HM75 	電機系（碩）	AEC8011 	嵌入式系統	Embedded Systems	選修	半	3.0	0.0	3.0	0.0	0.0	0.0		
113	HD75 	電機系（博）	AEC8012 	數位相機設計	Digital Still Camera Design	選修	半	3.0	0.0	3.0	0.0	0.0	0.0		
113	HM75 	電機系（碩）	AEC8012 	數位相機設計	Digital Still Camera Design	選修	半	3.0	0.0	3.0	0.0	0.0	0.0		
113	HD75 	電機系（博）	AEC8013 	適應控制	Adaptive Control	選修	半	3.0	0.0	3.0	0.0	0.0	0.0		
113	HM75 	電機系（碩）	AEC8013 	適應控制	Adaptive Control	選修	半	3.0	0.0	3.0	0.0	0.0	0.0		
113	HD75 	電機系（博）	AEC8014 	模糊控制	Fuzzy Control	選修	半	3.0	0.0	3.0	0.0	0.0	0.0		
113	HM75 	電機系（碩）	AEC8014 	模糊控制	Fuzzy Control	選修	半	3.0	0.0	3.0	0.0	0.0	0.0		
113	HD75 	電機系（博）	AEC8015 	機器人地圖建立與定位	Simultaneous Localization and Mapping for Robotics	選修	半	3.0	0.0	3.0	0.0	0.0	0.0		
113	HM75 	電機系（碩）	AEC8015 	機器人地圖建立與定位	Simultaneous Localization and Mapping for Robotics	選修	半	3.0	0.0	3.0	0.0	0.0	0.0		
113	HD75 	電機系（博）	AEC8016 	電腦視覺	Computer Vision	選修	半	3.0	0.0	3.0	0.0	0.0	0.0		
113	HM75 	電機系（碩）	AEC8016 	電腦視覺	Computer Vision	選修	半	3.0	0.0	3.0	0.0	0.0	0.0		
113	HD75 	電機系（博）	AEC8017 	智慧型人形機器人	Intelligent Humanoid Robotics	選修	半	3.0	0.0	3.0	0.0	0.0	0.0		
113	HM75 	電機系（碩）	AEC8017 	智慧型人形機器人	Intelligent Humanoid Robotics	選修	半	3.0	0.0	3.0	0.0	0.0	0.0		
113	HD75 	電機系（博）	AEC8018 	機器學習	Machine Learning	選修	半	3.0	0.0	3.0	0.0	0.0	0.0		
113	HM75 	電機系（碩）	AEC8018 	機器學習	Machine Learning	選修	半	3.0	0.0	3.0	0.0	0.0	0.0		
113	HD75 	電機系（博）	AEC8019 	視訊通訊	Video Communication	選修	半	3.0	0.0	3.0	0.0	0.0	0.0		
113	HM75 	電機系（碩）	AEC8019 	視訊通訊	Video Communication	選修	半	3.0	0.0	3.0	0.0	0.0	0.0		
113	HD75 	電機系（博）	AEC8020 	圖形識別	Pattern Recognition	選修	半	3.0	0.0	3.0	0.0	0.0	0.0		
113	HM75 	電機系（碩）	AEC8020 	圖形識別	Pattern Recognition	選修	半	3.0	0.0	3.0	0.0	0.0	0.0		
113	HD75 	電機系（博）	AEC8021 	隨機程序	Stochastic Processes	選修	半	3.0	0.0	3.0	0.0	0.0	0.0		
113	HM75 	電機系（碩）	AEC8021 	隨機程序	Stochastic Processes	選修	半	3.0	0.0	3.0	0.0	0.0	0.0		
113	HD75 	電機系（博）	AEC8022 	數位通訊系統　	Digital Communications Systems	選修	半	3.0	0.0	3.0	0.0	0.0	0.0		
113	HM75 	電機系（碩）	AEC8022 	數位通訊系統　	Digital Communications Systems	選修	半	3.0	0.0	3.0	0.0	0.0	0.0		
113	HD75 	電機系（博）	AEC8023 	通訊系統電腦模擬	Computer Simulations of Communications Systems	選修	半	3.0	0.0	3.0	0.0	0.0	0.0		
113	HM75 	電機系（碩）	AEC8023 	通訊系統電腦模擬	Computer Simulations of Communications Systems	選修	半	3.0	0.0	3.0	0.0	0.0	0.0		
113	HD75 	電機系（博）	AEC8024 	行動通訊	Mobile Communications	選修	半	3.0	0.0	3.0	0.0	0.0	0.0		
113	HM75 	電機系（碩）	AEC8024 	行動通訊	Mobile Communications	選修	半	3.0	0.0	3.0	0.0	0.0	0.0		
113	HD75 	電機系（博）	AEC8025 	工程機率與統計	Engineering Probability and Statistics	選修	半	3.0	0.0	3.0	0.0	0.0	0.0	Q	
113	HM75 	電機系（碩）	AEC8025 	工程機率與統計	Engineering Probability and Statistics	選修	半	3.0	0.0	3.0	0.0	0.0	0.0	Q	
113	HD75 	電機系（博）	AEC8026 	平行計算	Parallel Computing	選修	半	3.0	0.0	3.0	0.0	0.0	0.0		
