學年度	開課系所代碼	開課系所名稱	科目代碼	科目中文名稱	科目英文名稱	必選修	全/半	上學期學分	下學期學分	上學期正課時數	上學期實驗時數	下學期正課時數	下學期實驗時數	停開
114	LM27 	臺史所（碩）	THM0091 	臺灣古地圖專題研究	Special Topics on the Ancient Maps of Taiwan	選修	半	2.0	0.0	2.0	0.0	0.0	0.0	
114	LM27 	臺史所（碩）	THM0092 	臺灣總督府公文類纂專題研究（一）	Special Topics on the Archives of Governor-General of Taiwan (I)	選修	半	2.0	0.0	2.0	0.0	0.0	0.0	
114	LM27 	臺史所（碩）	THM0093 	地名學研究	Studies in Toponymy	選修	半	3.0	0.0	3.0	0.0	0.0	0.0	 
114	LM27 	臺史所（碩）	THM0094 	族群史專題討論	Seminar on Ethnic History of Taiwan	選修	半	3.0	0.0	3.0	0.0	0.0	0.0	 
114	LM27 	臺史所（碩）	THM0095 	臺灣的殖民地戰爭	The Colonial Wars in Taiwan	選修	半	3.0	0.0	3.0	0.0	0.0	0.0	
114	LM27 	臺史所（碩）	THM0096 	博物館的歷史學	Doing History in Museums	選修	半	3.0	0.0	3.0	0.0	0.0	0.0	
114	LM27 	臺史所（碩）	THM0097 	日治後期社會史專題研究	Seminar on the Social History in the Late Period of Japanese Colonial Rule	選修	半	3.0	0.0	3.0	0.0	0.0	0.0	
114	LM27 	臺史所（碩）	THM0098 	日治前期社會史專題研究	Seminar on the Social History of Taiwan in the Early Period of Japanese Colonial Rule	選修	半	3.0	0.0	3.0	0.0	0.0	0.0	
114	LM27 	臺史所（碩）	THM0099 	殖民地史研究方法	Approaches to the Study of Colonial History	選修	半	3.0	0.0	3.0	0.0	0.0	0.0	
114	LM27 	臺史所（碩）	THM0100 	戰後臺灣政治與社會專題	Seminar on Politics and Society of Postwar Taiwan	選修	半	2.0	0.0	2.0	0.0	0.0	0.0	
114	LM27 	臺史所（碩）	THM0101 	東亞的冷戰史（一）	Cold War History of East Asia I	選修	半	3.0		3.0	0.0			
114	LM27 	臺史所（碩）	THM0102 	東亞的冷戰史（二）	Cold War History of East Asia II	選修	半	3.0		3.0	0.0			
114	LM27 	臺史所（碩）	THM0103 	東亞歷史中的戰後日本（一）	Postwar Japan in East Asian History I	選修	半	3.0		3.0	0.0			
114	LM27 	臺史所（碩）	THM0104 	東亞歷史中的戰後日本（二）	Postwar Japan in East Asian History II	選修	半	3.0		3.0	0.0			
114	LU27 	臺史所（學）	THU0001 	走讀神社	Field Studies of Shrines	選修	半	2.0	0.0	2.0	0.0	0.0	0.0	
114	LU27 	臺史所（學）	THU0002 	史蹟導覽與文化旅遊	Historic Sites and Cultural Tourism	選修	半	2.0	0.0	2.0	0.0	0.0	0.0	
114	LD25 	翻譯所（博）	TIC0002 	比較文體論	Comparative Stylistics	選修	半	3.0	3.0	3.0	0.0	3.0	0.0	
114	LM25 	翻譯所（碩）	TIC0002 	比較文體論	Comparative Stylistics	選修	半	3.0	3.0	3.0	0.0	3.0	0.0	
114	LD25 	翻譯所（博）	TIC0023 	翻譯學理論研究	Studies in Translation Theories	選修	半	3.0	3.0	3.0	0.0	3.0	0.0	
114	LM25 	翻譯所（碩）	TIC0023 	翻譯學理論研究	Studies in Translation Theories	選修	半	3.0	3.0	3.0	0.0	3.0	0.0	
114	LD25 	翻譯所（博）	TIC0029 	翻譯產業研究	Studies of Translation & Interpretation Industries	選修	半	3.0	3.0	3.0	0.0	3.0	0.0	
114	LM25 	翻譯所（碩）	TIC0029 	翻譯產業研究	Studies of Translation & Interpretation Industries	選修	半	3.0	3.0	3.0	0.0	3.0	0.0	
114	LD25 	翻譯所（博）	TIC0035 	翻譯與全球化	Translation and Globalization	選修	半	3.0	3.0	3.0	0.0	3.0	0.0	
114	LM25 	翻譯所（碩）	TIC0035 	翻譯與全球化	Translation and Globalization	選修	半	3.0	3.0	3.0	0.0	3.0	0.0	
114	LD25 	翻譯所（博）	TIC0041 	翻譯與性別	Translation and Gender	選修	半	3.0	3.0	3.0	0.0	3.0	0.0	
114	LM25 	翻譯所（碩）	TIC0041 	翻譯與性別	Translation and Gender	選修	半	3.0	3.0	3.0	0.0	3.0	0.0	
114	LD25 	翻譯所（博）	TIC0042 	譯史與譯論	Rethinking Translation: Historical and Theoretical Perspectives	選修	半	3.0	3.0	3.0	0.0	3.0	0.0	
114	LM25 	翻譯所（碩）	TIC0042 	譯史與譯論	Rethinking Translation: Historical and Theoretical Perspectives	選修	半	3.0	3.0	3.0	0.0	3.0	0.0	
114	LD25 	翻譯所（博）	TIC0043 	戲劇翻譯	Drama Translation	選修	半	3.0	3.0	3.0	0.0	3.0	0.0	
114	LM25 	翻譯所（碩）	TIC0043 	戲劇翻譯	Drama Translation	選修	半	3.0	3.0	3.0	0.0	3.0	0.0	
114	LD25 	翻譯所（博）	TIC0044 	兒童文學翻譯	Children's Literature in Translation	選修	半	3.0	3.0	3.0	0.0	3.0	0.0	
114	LM25 	翻譯所（碩）	TIC0044 	兒童文學翻譯	Children's Literature in Translation	選修	半	3.0	3.0	3.0	0.0	3.0	0.0	
114	LD25 	翻譯所（博）	TIC0045 	社區口譯	Community Interpreting	選修	半	3.0	3.0	3.0	0.0	3.0	0.0	
114	LM25 	翻譯所（碩）	TIC0045 	社區口譯	Community Interpreting	選修	半	3.0	3.0	3.0	0.0	3.0	0.0	
114	LD25 	翻譯所（博）	TIC0046 	質性研究方法	Qualitative Research Methods	選修	半	3.0	3.0	3.0	0.0	3.0	0.0	
