acadm_year	acadm_term	authorize_p	authorize_using	chn_name	classes	comment	counter	counter_exceptAuth	course_avg	course_code	course_group	course_kind	credit	dept_chiabbr	dept_code	dept_group_name	eng_name	eng_teach	form_s	limit	limit_count_h	option_code	restrict	rt	serial_no	teacher	time_inf	generalCore
112	2	0	0	運動及休閒活動企劃 </br>[ 學分學程：戶外探索領導學程 高齡學程 ]			1	1		PEU4004		半	2.0	國訓學士班	9U77		Program Planning in Sports and Recreation </br>[ Program: The Program of Outdoor Adventure Leadership The program of Cultivating Seniors Service Talent in Community ]			0	0	選			8008	國訓教師		
112	2	0	0	教學原理（教） </br>[ 學分學程：國際教師學程-華語文 國際教師學程-數學 國際教師學程-物理 PASSION偏鄉教育學程 國際教師學程-國際 ]			1	1		00UE005		半	2.0	國訓學士班	9U77		Principles of Instruction </br>[ Program: The Program of International Baccalaureate Educator Certificate-Chinese Language Education The Program of International Baccalaureate Educator Certificate-International  Mathematics Education The Program of International Baccalaureate Educator Certificate-International  Physics  Education The Program of PASSION Quality Education in Rural Schools The Program of International Baccalaureate Educator Certificate-International Education ]			0	0	選			8010	國訓教師		
112	2	0	0	輔導原理與實務（教） </br>[ 學分學程：國際教師學程-華語文 國際教師學程-數學 國際教師學程-物理 PASSION偏鄉教育學程 國際教師學程-國際 ]			1	1		00UE008		半	2.0	國訓學士班	9U77		Principle and Practice of Guidance </br>[ Program: The Program of International Baccalaureate Educator Certificate-Chinese Language Education The Program of International Baccalaureate Educator Certificate-International  Mathematics Education The Program of International Baccalaureate Educator Certificate-International  Physics  Education The Program of PASSION Quality Education in Rural Schools The Program of International Baccalaureate Educator Certificate-International Education ]			0	0	選			8011	國訓教師		
112	2	0	0	科學本質 </br>[ 學分學程：科技化教學產業學程 ]			1	1		05UG007		半	2.0	國訓學士班	9U77		Nature of Science </br>[ Program: The Program of Technology-assisted Teaching Industry ]			0	0	通			8012	國訓教師		
112	2	0	0	運動心理學 </br>[ 學分學程：運動傷害防護學程 ]			1	1		PEU0007		半	2.0	國訓學士班	9U77		Sport Psychology </br>[ Program: The Program of Injury Prevention and Athletic Training ]			0	0	必			8013	國訓教師		
112	2	0	0	運動生物力學 </br>[ 學分學程：肌力與體能學程 運動傷害防護學程 ]			1	1		PEU0030		半	2.0	國訓學士班	9U77		Biomechanics of Sport </br>[ Program: The Program of Strength and Conditioning The Program of Injury Prevention and Athletic Training ]			0	0	必			8014	國訓教師		
112	2	10	0	中文寫作與表達：自主學習			4	4		00UA8B1		半	2.0	共同科	CU		Chinese Writing and Expression: Self-Directed Learning			0	50	必	◎第一階段需人工加選◎第二階段需人工加選◎加退選階段需人工加選	N	8017	謝秀卉		
112	2	10	0	數理統計			28	28		CSU0026		半	3.0	資工系（學）	SU47		Mathematical Statistics	是		0	50	選		N	8018	陳翔瀚	一 2-4 公館 Ｂ101	
112	2	10	0	顯微構造地質學	8		3	3		ESC0286		半	3.0	地科系（碩）	SM44		Micro-Structural Geology			5	50	選	◎課程開放上修	N	8019	葉孟宛	四 10-B 公館 Ｓ407	
112	2	10	10	網球（二）			60	50		FPU0164		半	2.0	競技系（學）	AU32		Tennis (II)	是		0	50	選	◎必須先修過【FPU0246  網球（一）】	N	8020	林岱樵	五 6-7 公館 網球場二	
112	2	10	0	音樂學研究方法論			5	5		MUD0003		半	2.0	音樂系（博）	MD90		Research Methodology in Musicology	是		0	50	必	◎課程開放上修	N	8021	司信寧	五 8-9 本部 樂研五	
112	2	0	0	教學媒體與運用（教） </br>[ 學分學程：國際教師學程-華語文 國際教師學程-數學 國際教師學程-物理 PASSION偏鄉教育學程 國際教師學程-國際 ]			1	1		00UE076		半	2.0	國訓學士班	9U77		Instructional Medium </br>[ Program: The Program of International Baccalaureate Educator Certificate-Chinese Language Education The Program of International Baccalaureate Educator Certificate-International  Mathematics Education The Program of International Baccalaureate Educator Certificate-International  Physics  Education The Program of PASSION Quality Education in Rural Schools The Program of International Baccalaureate Educator Certificate-International Education ]			0	0	選			8022	國訓教師		
112	2	0	0	臺灣原住民社會發展 </br>[ 學分學程：原民教育學程 ]			1	1		0SUG411		半	2.0	國訓學士班	9U77		Social Development of Taiwan Aborigines </br>[ Program: The Program of Indigenous Education and Culture ]			0	0	通			8023	國訓教師		
112	2	0	0	運動傷害與急救 </br>[ 學分學程：高齡學程 ]			1	1		FPU0008		半	2.0	國訓學士班	9U77		Sports Injuries and First Aids </br>[ Program: The program of Cultivating Seniors Service Talent in Community ]			0	0	選			8024	國訓教師		
112	2	10	0	絃樂器（四）			1	1		MUU0581	R	半	1.0	音樂系（學）	MU90		String Instruments(IV)			0	50	必	◎限本系(含雙主修)、輔系修習	N	8038	蘇億容		
112	2	0	0	青少年心理學（教） </br>[ 學分學程：國際教師學程-華語文 國際教師學程-數學 國際教師學程-物理 PASSION偏鄉教育學程 國際教師學程-國際 ]			1	1		00UE018		半	2.0	國訓學士班	9U77		Adolescents Psychology </br>[ Program: The Program of International Baccalaureate Educator Certificate-Chinese Language Education The Program of International Baccalaureate Educator Certificate-International  Mathematics Education The Program of International Baccalaureate Educator Certificate-International  Physics  Education The Program of PASSION Quality Education in Rural Schools The Program of International Baccalaureate Educator Certificate-International Education ]			0	0	選			8042	國訓教師		
112	2	0	0	課程發展與設計（教） </br>[ 學分學程：國際教師學程-華語文 國際教師學程-數學 國際教師學程-物理 PASSION偏鄉教育學程 國際教師學程-國際 ]			1	1		00UE075		半	2.0	國訓學士班	9U77		Curriculum Development and Design </br>[ Program: The Program of International Baccalaureate Educator Certificate-Chinese Language Education The Program of International Baccalaureate Educator Certificate-International  Mathematics Education The Program of International Baccalaureate Educator Certificate-International  Physics  Education The Program of PASSION Quality Education in Rural Schools The Program of International Baccalaureate Educator Certificate-International Education ]			0	0	選			8043	國訓教師		
112	2	0	0	教育政策與法令（教） </br>[ 學分學程：國際教師學程-華語文 國際教師學程-數學 國際教師學程-物理 國際教師學程-國際 ]			1	1		00UE099		半	2.0	國訓學士班	9U77		Education Policy and Law </br>[ Program: The Program of International Baccalaureate Educator Certificate-Chinese Language Education The Program of International Baccalaureate Educator Certificate-International  Mathematics Education The Program of International Baccalaureate Educator Certificate-International  Physics  Education The Program of International Baccalaureate Educator Certificate-International Education ]			0	0	選			8044	國訓教師		
