acadm_year	acadm_term	authorize_p	authorize_using	chn_name	classes	comment	counter	counter_exceptAuth	course_avg	course_code	course_group	course_kind	credit	dept_chiabbr	dept_code	dept_group_name	eng_name	eng_teach	form_s	limit	limit_count_h	option_code	restrict	rt	serial_no	teacher	time_inf	generalCore
114	2	9	-50	環境倫理與永續發展 </br>[ 學分學程：理工實作學程 ]			22	72		06UG006	B	半	2.0	通識	GU		Environmental Ethics and Sustainable Development </br>[ Program: The Program of STEM Innovation and Practices ]			0	90	通		N	1000	李清安	三 A-B 和平 誠201	A3UG
114	2	4	-116	資訊科技與生活 </br>[ 學分學程：高齡學程 ]			50	166		06UG012	A	半	2.0	通識	GU		Information Technology and the Way of Life </br>[ Program: The program of Cultivating Seniors Service Talent in Community ]			0	50	通		N	1001	劉建成	一 3-4 和平 誠104	A4UG
114	2	4	-135	資訊科技與生活 </br>[ 學分學程：高齡學程 ]			48	183		06UG012	B	半	2.0	通識	GU		Information Technology and the Way of Life </br>[ Program: The program of Cultivating Seniors Service Talent in Community ]			0	50	通		N	1002	劉建成	一 6-7 和平 誠104	A4UG
114	2	10	-72	科技與人文的對話		最營養的通識課，包山包海，保證收穫滿滿。	88	160		06UG014		半	2.0	通識	GU		Dialogue between Technology and Humanity			0	100	通		N	1003	王銀國	三 3-4 和平 誠101	A3UG
114	2	3	-95	疾病、醫學與文明			84	179		06UG016		半	2.0	通識	GU		Diseases, Medicine and Civilization			0	115	通		N	1004	梁至中	二 6-7 和平 教202會議廳	A3UG
114	2	0	-59	學習與生活中的腦科學 </br>[ 學分學程：理工實作學程 ]			50	109		06UG018	A	半	2.0	通識	GU		Brain Science in Learning and Daily Life </br>[ Program: The Program of STEM Innovation and Practices ]			0	75	通		N	1005	顏妙璇	一 3-4 公館 理圖003	A3UG
114	2	0	-75	學習與生活中的腦科學 </br>[ 學分學程：理工實作學程 ]			44	119		06UG018	B	半	2.0	通識	GU		Brain Science in Learning and Daily Life </br>[ Program: The Program of STEM Innovation and Practices ]			0	75	通		N	1006	顏妙璇	一 6-7 公館 理圖003	A3UG
114	2	9	-31	宇宙中的生命與太空環境 </br>[ 學分學程：天文重力學程 ]		◎數位課程 All distance learning courses display synchronous learning and face-to-face learning time only.	56	87		06UG021		半	2.0	通識	GU		Life in the Universe and the Space Environments </br>[ Program: The Program of  Astronomy and Gravitation ]	是		30	97	通		1	1007	橋本康弘	◎面授/同步	A3UG
114	2	10	-34	日常生活藥理學			28	62		06UG029		半	2.0	通識	GU		Pharmacology of Daily Life	是		0	50	通		N	1008	呂國棟	五 3-4 公館 理圖002	A3UG
114	2	5	-4	客庄產業中的科學		◎客語      授課 全客語授課	5	9		06UG034		半	2.0	通識	GU		Science of Industry in Hakka Villages			0	50	通		N	1009	宋蕙伶	二 6-7 和平 正202	A3UG
114	2	0	-189	心理學 </br>[ 學分學程：藝教學程 人社學程 肌力與體能學程 音樂輔教學程 ]		中文授課。	58	247		0AUG402		半	2.0	通識	GU		Psychology </br>[ Program: The Program of Art Education Therapy Human Services and Social Work Credit Program The Program of Strength and Conditioning The Program of Music-assisted Guidance and Special Education ]			0	60	通		N	1010	楊諮燕	四 3-4 和平 誠203	A2UG/B1UG
114	2	10	-77	健康與生活			63	140		0AUG408		半	2.0	通識	GU		Health and Life			5	60	通		N	1011	黃玫瑄	四 3-4 和平 教202會議廳	A3UG
114	2	0	-94	聖經與人生			47	141		0AUG442		半	2.0	通識	GU		The Bible and Human Life	是		0	50	通		N	1012	范俊銘	一 C-D 公館 Ｓ204	A1UG
114	2	10	-144	個人投資理財			164	308		0AUG462	A	半	2.0	通識	GU		Personal Finance			0	170	通		N	1013	朱文增	三 3-4 和平 綜202演講廳	A2UG
114	2	10	-153	個人投資理財			111	264		0AUG462	B	半	2.0	通識	GU		Personal Finance			0	140	通		N	1014	廖仁傑	三 8-9 和平 誠101	A2UG
114	2	10	-72	休閒與生活 </br>[ 學分學程：肌力與體能學程 ]			48	120		0AUG463		半	2.0	通識	GU		Leisure in Our Daily Life </br>[ Program: The Program of Strength and Conditioning ]			0	50	通		N	1015	李晶	三 3-4 和平 誠203	A2UG
114	2	3	-15	學術寫作			6	21		0HUG011		半	2.0	通識	GU		Academic Writing			1	50	通		N	1016	謝秀卉	二 3-4 和平 正201	A1UG
