acadm_year	acadm_term	authorize_p	authorize_using	chn_name	classes	comment	counter	counter_exceptAuth	course_avg	course_code	course_group	course_kind	credit	dept_chiabbr	dept_code	dept_group_name	eng_name	eng_teach	form_s	limit	limit_count_h	option_code	restrict	rt	serial_no	teacher	time_inf	generalCore
113	1	10	0	數位藝術專題研究	8		11	11		ATC0079		半	3.0	美術系（碩）	TM60		Special Topics on Digital Arts			0	30	選	◎課程不開放上修	N	3000	邱誌勇	四 9-A 本部 美406	
113	1	10	0	版畫創作研究	8		3	3		ATC0087		半	3.0	美術系（碩）	TM60		Studies in Creative Printmaking			0	30	選	◎課程不開放上修	N	3001	林福全	五 8-10 本部 美201	
113	1	10	0	藝術行銷策略研究	8		20	20		ATC0088		半	3.0	美術系（碩）	TM60		Marketing Strategy in Art			0	30	選	◎課程不開放上修	N	3002	蘇瑤華	四 6-8 本部 美405	
113	1	10	0	藝術與法律	8		8	8		ATC0132		半	3.0	美術系（碩）	TM60		Art and Law			1	30	選	◎課程不開放上修	N	3003	廖凰玎	四 2-4 本部 美406	
113	1	10	0	藝術與性別研究	8		7	7		ATC0195		半	3.0	美術系（碩）	TM60		Art and Gender Studies			0	30	選	◎課程不開放上修	N	3004	吳岱融	三 7-9 本部 美306	
113	1	10	0	當代水墨創作分析	8		19	19		ATC0221		半	3.0	美術系（碩）	TM60		Seminar on Modern Chinese Ink-and-Brush Painting			0	30	選	◎課程不開放上修	N	3005	李振明	二 6-8 本部 美501	
113	1	10	0	繪畫創作研究（一）	8		15	15		ATC0225		半	3.0	美術系（碩）	TM60		Studies in Special Painting (I)			0	30	選	◎課程不開放上修	N	3006	宋曉明	一 2-4 本部 美401	
113	1	10	0	中西藝術比較研究	8		15	15		ATC0253		半	3.0	美術系（碩）	TM60		Comparative Studies in Eastern and Western Arts			2	30	選	◎課程不開放上修	N	3007	楊永源	二 6-8 本部 美203	
113	1	10	0	藝術哲學	8		23	23		ATC0289		半	3.0	美術系（碩）	TM60		Art Philosophy			0	30	選	◎課程不開放上修	N	3008	高榮禧	五 8-10 本部 美203	
113	1	10	0	藝術史學研究方法	8		16	16		ATC0308		半	3.0	美術系（碩）	TM60		Methodologies of History of Art			0	30	選	◎課程不開放上修	N	3009	白適銘	四 A-C 本部 美203	
113	1	10	0	日文美術史文獻論著譯讀（一）	8		12	12		ATC0327		半	3.0	美術系（碩）	TM60		Selected Japanese Readings of Art History (I)			0	30	選	◎課程不開放上修	N	3010	白適銘	二 9-A 本部 美203	
113	1	10	0	影像數位科技	8		5	5		ATC0348		半	3.0	美術系（碩）	TM60		Digital Image Technology			0	30	選	◎課程不開放上修	N	3011	李炳曄	二 2-4 本部 美406	
113	1	10	0	平面繪畫創作與解析	8		8	8		ATC8003		半	3.0	美術系（碩）	TM60		Creation and Analysis Painting			0	30	選	◎課程不開放上修	N	3014	王瓊麗	二 7-9 本部 美504	
113	1	10	0	水彩創作研究	8		16	16		ATC8014		半	3.0	美術系（碩）	TM60		Studies in Watercolor			0	30	選	◎課程不開放上修	N	3015	黃進龍	二 2-4 本部 美504	
113	1	10	0	錄像藝術	8		6	6		ATC8016		半	3.0	美術系（碩）	TM60		Video Art			0	30	選	◎課程不開放上修	N	3016	陳永賢	四 6-8 本部 美406	
113	1	10	0	美術館與藝術史研究	8		13	13		ATC8019		半	3.0	美術系（碩）	TM60		Studies in the Art Museum and the Art History			1	50	選	◎課程不開放上修	N	3017	廖仁義	五 2-4 本部 美301	
113	1	10	0	箔彩技法應用創作	8		15	15		ATC8037		半	3.0	美術系（碩）	TM60		Applications of Metal Leaf on Paintings			0	30	選	◎課程不開放上修	N	3018	陳淑華	一 10-B 本部 美601	
113	1	10	0	當代藝術創作研究	8		18	18		ATC8041		半	3.0	美術系（碩）	TM60		Study in Contemporary Art			0	30	選	◎課程不開放上修	N	3019	蔡芷芬	三 2-4 本部 美504	
113	1	10	0	書寫藝術研究	8		9	9		ATC8045		半	3.0	美術系（碩）	TM60		Studies in Calligraphy Art			0	30	選	◎課程不開放上修	N	3020	程代勒	四 6-8 本部 美501	
113	1	10	0	修復科技專題研究（一）	8		11	11		ATC8046		半	3.0	美術系（碩）	TM60		Conservation Special Project (I)			0	30	選	◎課程不開放上修	N	3021	吳盈君	二 6-8 本部 美506	
113	1	10	0	中國繪畫史研究導論			7	7		AHM0002		半	3.0	藝史所（碩）	TM67		Introduction to the History of Chinese Painting			1	30	選	◎課程開放上修	N	3022	蔡家丘	四 2-4 本部 青田406室	
113	1	10	0	藝術與社會專題研究			3	3		AHM0051		半	3.0	藝史所（碩）	TM67		Art and Society	是		1	30	選	◎課程開放上修	N	3023	謝佩君	四 7-9 本部 青田405室	
113	1	10	0	西方藝術技法與材料應用			15	15		AHM0064		半	3.0	藝史所（碩）	TM67		Materials and Techniques of Western Art	是		1	30	必	◎課程開放上修	N	3024	曾肅良	一 9-A 本部 青田406室	
113	1	10	0	文物鑑定學研究導論			21	21		AHM0092		半	3.0	藝史所（碩）	TM67		Introduction to Authentication of Cultural Objects			1	30	選	◎課程開放上修	N	3025	曾肅良	一 6-8 本部 青田406室	
113	1	10	0	明代繪畫			3	3		AHM0099		半	3.0	藝史所（碩）	TM67		Ming Painting			1	30	選	◎課程開放上修	N	3026	林麗江	二 2-4 本部 青田405室	
113	1	10	0	中國繪畫中的圖像與文本專題研究			8	8		AHM0108		半	3.0	藝史所（碩）	TM67		Image and Text in Chinese Painting			1	30	選	◎課程開放上修	N	3027	林麗江	三 7-9 本部 青田406室	
113	1	10	0	繪畫史研究導論			12	12		AHM0115		半	3.0	藝史所（碩）	TM67		Introduction to the History of Painting	是		1	30	選	◎課程開放上修	N	3028	諾斯邦	三 3-5 本部 青田406室	
113	1	10	0	清宮繪畫專題研究			3	3		AHM0147		半	3.0	藝史所（碩）	TM67		Qing Court Painting			1	30	選	◎課程開放上修	N	3029	邱士華	四 7-9 本部 青田406室	
113	1	10	0	當代藝術			8	8		AHM0185		半	3.0	藝史所（碩）	TM67		Contemporary Art	是		1	30	選	◎課程開放上修	N	3030	謝佩君	二 7-9 本部 青田405室	
113	1	10	0	視覺藝術中的敘事專題研究			10	10		AHM0218		半	3.0	藝史所（碩）	TM67		Narrative in the Visual Arts	是		1	30	選	◎課程開放上修	N	3031	諾斯邦	二 3-5 本部 青田406室	
113	1	10	0	高棉建築			11	11		AHM0225		半	3.0	藝史所（碩）	TM67		Khmer Architecture	是		1	30	選	◎課程開放上修	N	3032	王維周	一 6-8 本部 青田405室	
113	1	10	0	東亞書畫保存修復專題			18	18		AHM0239		半	3.0	藝史所（碩）	TM67		Studies in Preservation and Conservation of East Asian Painting and Calligraphy			1	30	選	◎課程開放上修	N	3033	林煥盛	二 7-9 本部 青田406室	
113	1	5	0	研究方法論			32	32		VDM0002		半	3.0	設計系（碩）	TM68		Theory and Approach of Study			0	35	必	◎課程開放上修	N	3034	伊彬	一 5-7 本部 綜914	
113	1	3	0	商業廣告設計研究			27	27		VDM0007		半	3.0	設計系（碩）	TM68		Studies of Commercial Design			0	35	選	◎課程開放上修	N	3035	何清輝	二 2-4 本部 設計系6A教室	
113	1	5	0	品牌設計專題研究			27	27		VDM0010		半	3.0	設計系（碩）	TM68		Special Topics on Branding Design			0	35	選	◎課程開放上修	N	3036	王千睿	四 2-4 本部 設計系2A教室	
113	1	3	0	華文設計專題研究			20	20		VDM0023		半	3.0	設計系（碩）	TM68		Special Topics on Chinese Design			0	30	選	◎課程開放上修	N	3037	林俊良	二 7-9 本部 設計系6A教室	
113	1	3	0	視覺設計專題研究			12	12		VDM0029		半	3.0	設計系（碩）	TM68		Special Topics on Visual Design			0	30	選	◎課程開放上修	N	3038	施令紅	三 7-9 本部 綜914	
113	1	3	0	產品設計專題研究			14	14		VDM0045		半	3.0	設計系（碩）	TM68		Special Topics on Product Design			0	30	選	◎課程開放上修	N	3039	梁桂嘉	二 2-4 本部 設計系3B教室	
113	1	3	0	綠色設計專題	8		19	19		VDC8005		半	3.0	設計系（碩）	TM68		Special Topics in Green Design			0	30	選	◎課程開放上修	N	3040	鄧建國	五 2-4 本部 設計系2A教室	
113	1	3	0	設計創意評量專題研究	8		4	4		VDC8008		半	3.0	設計系（碩）	TM68		Special Topics on Design Creativity Assessment	是		0	30	選	◎課程開放上修	N	3041	周賢彬	四 5-7 本部 綜913	
113	1	6	4	裝裱基本技法與冊頁 </br>[ 學分學程：文物保存修復學程 ]			35	31		ATU0322		半	3.0	美術系（學）	TU60		Introduction to Mounting Techniques and Album Making </br>[ Program: The Program of Conservation of Cultural Relics ]	是		2	30	選	◎初選 文物保存修復學程 研究生得下修	N	3042	潘怡伶	四 2-4 本部 美506	
113	1	6	5	文物保存修復倫理原則與檢視登錄 </br>[ 學分學程：文物保存修復學程 ]			31	26		ATU0350		半	2.0	美術系（學）	TU60		Conservation Ethics and Documentation of Culture Relics </br>[ Program: The Program of Conservation of Cultural Relics ]			2	30	選	◎初選 文物保存修復學程 研究生得下修	N	3043	潘怡伶	四 6-7 本部 美506	
113	1	6	1	西方繪畫材料技法與臨摹（二） </br>[ 學分學程：文物保存修復學程 ]			19	18		ATU0354		半	3.0	美術系（學）	TU60		Techniques and Materials-Painting Conservation Basic (II) </br>[ Program: The Program of Conservation of Cultural Relics ]			2	30	選	◎初選 文物保存修復學程 研究生得下修	N	3044	鈴鴨富士子	一 7-9 本部 美506	
113	1	10	0	水墨創作			25	25		ATU0363	A	半	3.0	美術系（學）	TU60		The Practice of Ink Art	是		0	30	選		N	3045	管偉邦	三 7-9 本部 美302	
113	1	10	5	西方繪畫顏料製作 </br>[ 學分學程：文物保存修復學程 ]			29	24		ATU0373		半	3.0	美術系（學）	TU60		Making of Western Painting Pigments </br>[ Program: The Program of Conservation of Cultural Relics ]			2	30	選	◎初選 文物保存修復學程 研究生得下修	N	3046	吳盈君	一 2-4 本部 美506	
113	1	10	0	博物館學	9		48	48		ATC0353		半	3.0	美術系（學）	TU60		Museum Studies			1	50	選		N	3047	蘇瑤華	四 2-4 本部 美101	
113	1	5	0	天然漆繪	9		24	24		ATC3043		半	3.0	美術系（學）	TU60		Lacquer Painting			0	30	選		N	3048	陳淑華	一 6-8 本部 美601	
113	1	10	0	藝術產業實習	9		11	11		ATC9002		半	3.0	美術系（學）	TU60		Practice in Art Industry			0	30	選		N	3049	蘇瑤華	六 6-10 本部 美301	
113	1	10	1	藝術、文化、生活	9		28	27		ATC9020	B	半	3.0	美術系（學）	TU60		Art, Culture, Life	是		1	50	選		N	3050	陳淑華	二 10-B 本部 美301	
113	1	10	10	藝術概論 </br>[ 學分學程：社團領導學程 ]			61	51		ATU0013		半	2.0	美術系（學）	TU60		An Introduction to Art </br>[ Program: The Program of Club Members Leadership And Empowerment Cultivation ]		1	3	50	必		N	3051	顧素琿	三 6-7 本部 美101	
113	1	10	0	基礎油畫（一）		限水墨畫組修	29	29		ATU0233	A	半	1.0	美術系（學）	TU60		Oil Painting - University Foundation Level (I)		1	0	30	必		N	3052	陳孟澤	五 6-7 本部 美401	
113	1	10	0	基礎油畫（一）		限繪畫組修	23	23		ATU0233	B	半	1.0	美術系（學）	TU60		Oil Painting - University Foundation Level (I)		1	0	30	必		N	3053	朱友意	一 6-7 本部 美602	
113	1	10	10	西方美術史（一）			62	52		ATU0305		半	2.0	美術系（學）	TU60		History of Western Art (I)		1	3	50	必		N	3054	顧素琿	二 6-7 本部 美101	
113	1	10	0	書法（楷書）		限水墨畫組修	29	29		ATU0335	A	半	1.0	美術系（學）	TU60		Calligraphy (Regular Script)		1	0	30	必		N	3055	林政榮	三 8-9 本部 美505	
113	1	10	0	書法（楷書）		限繪畫組修	27	27		ATU0335	B	半	1.0	美術系（學）	TU60		Calligraphy (Regular Script)		1	0	30	必		N	3056	莊連東	二 8-9 本部 美305	
113	1	10	1	素描（一）		限水墨畫組修	30	29		ATU6061	A	半	2.0	美術系（學）	TU60		Drawing		1	0	30	必		N	3057	吳宥鋅	二 1-4 本部 美505	
113	1	10	0	素描（一）		限繪畫組修	23	23		ATU6061	B	半	2.0	美術系（學）	TU60		Drawing		1	0	30	必		N	3058	蔡芷芬	二 1-4 本部 美401	
113	1	10	0	水彩（一）		限水墨畫組修	19	19		ATU6064	A	半	1.0	美術系（學）	TU60		Watercolor (I)		1	0	30	必		N	3059	宋曉明	四 3-4 本部 美401	
113	1	6	3	水彩（一）		限繪畫組修	35	32		ATU6064	B	半	1.0	美術系（學）	TU60		Watercolor (I)		1	2	30	必		N	3060	黃進龍	四 3-4 本部 美602	
113	1	10	0	基礎彩墨（一）		限水墨畫組修	21	21		ATU6066	A	半	1.0	美術系（學）	TU60		Chinese Color Ink- and- Brush Painting- University Foundation Level (I)		1	0	30	必		N	3061	孫翼華	二 8-9 本部 美505	
113	1	10	1	基礎彩墨（一）		限繪畫組修	31	30		ATU6066	B	半	1.0	美術系（學）	TU60		Chinese Color Ink- and- Brush Painting- University Foundation Level (I)		1	0	30	必		N	3062	管偉邦	四 8-9 本部 美505	
113	1	10	6	中國美術史			58	52		ATU0026		半	2.0	美術系（學）	TU60		History of Chinese Art		2	3	50	必		N	3063	白適銘	二 B-C 本部 美101	
113	1	10	2	水墨寫生			34	32		ATU0210	A	半	3.0	美術系（學）	TU60		Representation Skills in Ink-And-Brush Painting		2	1	30	選		N	3064	林政榮	二 2-4 本部 美305	
113	1	10	0	水墨花鳥創作			8	8		ATU0215	A	半	3.0	美術系（學）	TU60		Studio Chinese Painting: Birds and Flowers		2	0	30	選		N	3065	胡以誠	一 6-8 本部 美305	
113	1	10	1	繪畫發展與心智成長			47	46		ATU0232		半	2.0	美術系（學）	TU60		Drawing Development and Mental Growth		2	2	50	選		N	3066	江學瀅	一 6-7 本部 美301	
113	1	10	3	美學（一） </br>[ 學分學程：社團領導學程 ]			53	50		ATU0237		半	2.0	美術系（學）	TU60		Aesthetics (I) </br>[ Program: The Program of Club Members Leadership And Empowerment Cultivation ]		2	3	50	必		N	3067	魏竹君	五 8-9 本部 美101	
